视频,作者模型(Prob),我的模型(Prob),集成模型(Prob),最终判定,状态
049_946.mp4,99.0%,31.9%,72.2%,Fake,🔥 集成修正
050_059.mp4,99.0%,75.3%,89.5%,Fake,🤝 一致
051_332.mp4,99.0%,58.9%,83.0%,Fake,🤝 一致
052_108.mp4,99.0%,38.1%,74.7%,Fake,🔥 集成修正
053_095.mp4,85.5%,82.8%,84.4%,Fake,🤝 一致
054_071.mp4,99.0%,54.2%,81.1%,Fake,🤝 一致
055_147.mp4,99.0%,87.6%,94.4%,Fake,🤝 一致
056_996.mp4,99.0%,83.8%,92.9%,Fake,🤝 一致
057_070.mp4,99.0%,81.3%,91.9%,Fake,🤝 一致
058_039.mp4,79.6%,35.9%,62.1%,Fake,🔥 集成修正
059_050.mp4,99.0%,50.3%,79.5%,Fake,🤝 一致
449_451.mp4,98.2%,93.7%,96.4%,Fake,🤝 一致
450_533.mp4,89.4%,69.4%,81.4%,Fake,🤝 一致
451_449.mp4,7.3%,91.4%,40.9%,Real,🔥 集成修正
452_550.mp4,87.4%,65.6%,78.7%,Fake,🤝 一致
453_402.mp4,87.8%,76.6%,83.3%,Fake,🤝 一致
454_527.mp4,91.5%,88.4%,90.3%,Fake,🤝 一致
455_471.mp4,99.0%,75.9%,89.7%,Fake,🤝 一致
863.mp4,73.5%,73.1%,73.3%,Fake,🤝 一致
864.mp4,91.6%,79.8%,86.9%,Fake,🤝 一致
865.mp4,61.0%,86.1%,71.1%,Fake,🤝 一致
866.mp4,82.7%,68.7%,77.1%,Fake,🤝 一致
867.mp4,32.3%,72.8%,48.5%,Real,🔥 集成修正
868.mp4,80.1%,68.6%,75.5%,Fake,🤝 一致
869.mp4,39.4%,68.2%,50.9%,Fake,🔥 集成修正
870.mp4,6.5%,87.6%,39.0%,Real,🔥 集成修正
871.mp4,39.7%,65.0%,49.8%,Real,🔥 集成修正
872.mp4,48.8%,64.3%,55.0%,Fake,🔥 集成修正
873.mp4,62.8%,60.5%,61.9%,Fake,🤝 一致
982.mp4,69.6%,53.7%,63.2%,Fake,🤝 一致
983.mp4,98.4%,60.0%,83.0%,Fake,🤝 一致
984.mp4,36.5%,66.3%,48.4%,Real,🔥 集成修正
985.mp4,96.1%,75.8%,88.0%,Fake,🤝 一致
986.mp4,79.8%,42.8%,65.0%,Fake,🔥 集成修正
987.mp4,12.2%,80.0%,39.3%,Real,🔥 集成修正
988.mp4,49.4%,60.7%,53.9%,Fake,🔥 集成修正
989.mp4,73.1%,56.5%,66.5%,Fake,🤝 一致
990.mp4,79.8%,40.6%,64.1%,Fake,🔥 集成修正
991.mp4,63.9%,57.6%,61.4%,Fake,🤝 一致
992.mp4,89.9%,46.0%,72.3%,Fake,🔥 集成修正
993.mp4,34.7%,55.2%,42.9%,Real,🔥 集成修正
994.mp4,31.9%,71.2%,47.7%,Real,🔥 集成修正
995.mp4,48.5%,52.5%,50.1%,Fake,🔥 集成修正
996.mp4,32.3%,79.6%,51.2%,Fake,🔥 集成修正
997.mp4,63.4%,59.4%,61.8%,Fake,🤝 一致
998.mp4,51.2%,90.9%,67.1%,Fake,🤝 一致
999.mp4,92.1%,60.7%,79.5%,Fake,🤝 一致
VID_20260414_041059_DOLBY.mp4,77.7%,87.0%,81.4%,Fake,🤝 一致
VID_20260414_041410_DOLBY.mp4,64.7%,38.9%,54.3%,Fake,🔥 集成修正
VID_20260414_173307_DOLBY.mp4,71.8%,80.3%,75.2%,Fake,🤝 一致
VID_20260414_173528_DOLBY.mp4,88.4%,48.5%,72.5%,Fake,🔥 集成修正
抖音2026317-949297.mp4,40.2%,80.7%,56.4%,Fake,🔥 集成修正
